project_id,project_name,quote_number,customer_budget,probability,option,product_version,vendor_price,qty,costing,selling,est_competitor_cost,Demand_Level,Stock_Availability,Installation_Cost,Customer_Type,est_competitor_cost,solution,brand,product_line,spare_cost,project_status
fef0fd7b,Enable Clicks-And-Mortar E-Markets,QT-4351,304820,30,Custom,v2.4,1500,24,1997.79,4439.37,5760.75,High,In Stock,50,Corporate,5576.81,Hybrid,BrandA,Security,891.54,Lost
1bf3702d,Syndicate Robust Action-Items,QT-2519,125529,70,Premium,v5.4,3403,24,4763.43,7462.09,8823.88,Medium,In Stock,20,SME,3529.75,On-Premise,BrandB,Software,235.05,Won
ea1a1a3b,Engineer Innovative Convergence,QT-1707,400254,100,Standard,v1.1,2342,30,3713.57,4735.78,5980.37,High,Low Stock,100,Enterprise,3590.61,Cloud,BrandA,Software,375.71,Won
f22fcfc6,E-Enable Integrated Models,QT-7403,12462,70,Custom,v2.7,2342,11,3073.56,3492.71,3103.19,Low,In Stock,30,Corporate,2549.9,Cloud,BrandA,Software,170.07,Lost
8c77b8b4,Visualize Killer Communities,QT-3407,323002,30,Premium,v2.0,340,14,948.89,1709.9,256.27,High,In Stock,15,Government,3372.59,Cloud,BrandC,Software,133.27,Lost
986ab801,Empower Enterprise E-Business,QT-7802,431795,10,Custom,v1.4,390,35,948.77,2287.38,3572.34,High,In Stock,120,Enterprise,1607.08,Hybrid,BrandC,Security,568.61,Lost
8s4775665,Aggregate Visionary Vortals,QT-7802,128357,70,Custom,v1.7,543,6,478.8,2951.04,2735.59,Medium,In Stock,10,SME,1736.08,Cloud,BrandC,Security,181,Lost
75e45ffd,Cultivate Compelling Models,QT-8310,31033,50,Premium,v1.2,3200,36,4357.65,6953.77,8353.73,Low,Low Stock,25,Corporate,1796.72,On-Premise,BrandB,Networking,189.84,Won
26da2983,Integrate Proactive Schemas,QT-3015,423979,50,Premium,v5.1,2030,18,3085.35,3205.51,4596.37,High,In Stock,35,Enterprise,5323.96,On-Premise,BrandA,Networking,350.14,Lost
27bf2e69,Reinvent Frictionless Web Services,QT-3226,312674,50,Custom,v3.5,2302,35,3598.75,5179.92,6238.95,Medium,In Stock,40,Government,723.78,Cloud,BrandB,Networking,840.3,Lost
115d5dde,Unleash Extensible E-Markets,QT-6063,366140,70,Custom,v1.6,120,26,298.81,1609.3,992.65,High,Low Stock,90,Enterprise,3007.42,Cloud,BrandC,Networking,341.55,Won
b10977eb,Brand Back-End Metrics,QT-1774,280345,90,Custom,v5.4,4120,33,4855.57,5599.68,5254.97,Medium,In Stock,55,Corporate,1073.94,Hybrid,BrandB,Software,317.44,Won
5b5fe981,Re-Contextualize Synergistic Channels,QT-6763,235000,10,Premium,v3.9,3803,15,4195.72,4643.33,5696.74,Low,In Stock,60,Corporate,3507.45,Hybrid,BrandB,Software,673.03,Lost
4f3f3d32,Seize Viral Solutions,QT-9966,180925,30,Premium,v5.4,1211,7,1219.23,2298.31,1749.08,High,In Stock,45,SME,2299.97,Hybrid,BrandC,Security,952.48,Lost
fd2ef57c,Disintermediate Bricks-And-Clicks Users,QT-1271,263095,50,Standard,v5.5,695,43,1072.76,3907.2,2915.68,Low,In Stock,5,Government,2870.02,Hybrid,BrandA,Networking,93.28,Lost
fc08f6c7,Disintermediate Visionary E-Tailers,QT-9145,19448,100,Custom,v1.9,956,24,1080.34,2117.63,2288.03,High,Out of Stock,80,Enterprise,3953.87,On-Premise,BrandC,Software,366.55,Lost
5831b9b9,Disintermediate Best-Of-Breed Partnerships,QT-4751,267964,100,Standard,v4.8,1213,2,1660.36,3264.85,4573.31,Medium,In Stock,30,SME,2847.31,On-Premise,BrandA,Networking,303.84,Lost
